attendance_id,employee_id,status,leave_type
884,367,Present,Casual
885,1166,Present,None
886,4389,Present,Casual
887,1910,Present,None
888,1656,Present,Earned
889,952,Present,Unpaid
890,2648,Leave,Sick
891,1774,Present,Casual
892,1557,Present,Sick
893,1722,Absent,Sick
894,2171,Leave,Unpaid
895,3415,Present,Sick
896,1804,Present,Sick
897,2982,Absent,Earned
898,4095,Present,Sick
899,1405,Present,Sick
900,785,Leave,Sick
901,4134,Present,Earned
902,3304,Present,None
903,4879,Present,Sick
904,1580,Leave,Sick
905,3180,Present,Unpaid
906,766,Present,None
907,3743,Leave,Unpaid
908,1705,Present,Casual
909,544,Present,None
910,4784,Present,Sick
911,1711,Present,Casual
912,4531,Present,Unpaid
913,1935,Present,Casual
914,128,Present,Casual
915,958,WFH,Unpaid
916,25,Present,Earned
917,4409,Present,None
918,811,Present,Sick
919,163,Leave,Casual
920,47,Present,None
921,4752,Leave,Casual
922,4190,Present,Sick
923,563,Present,Earned
924,2543,Present,Casual
925,288,Present,Unpaid
926,1699,Leave,Casual
927,3747,Present,Sick
928,3311,Present,Sick
929,4720,Present,Sick
930,4017,Present,Earned
931,3241,Present,Unpaid
932,1405,Present,Earned
933,3545,Present,Casual
934,3660,Present,Casual
935,3359,Present,None
936,2953,Leave,None
937,2587,Leave,Casual
938,4314,Present,Casual
939,2755,Present,Sick
940,1133,Present,Sick
941,4932,Present,Casual
942,152,Present,Sick
943,4910,Absent,Unpaid
944,1214,Present,Sick
945,4697,Present,Earned
946,35,Absent,None
947,1105,Present,Earned
948,2966,Present,Unpaid
949,1335,Leave,Unpaid
950,1361,Present,Unpaid
951,1079,Present,None
952,1052,Present,None
953,2375,Present,Earned
954,4578,Present,Earned
955,4966,Present,Sick
956,1738,Present,Casual
957,1675,Present,Casual
958,4458,Present,Sick
959,2157,Present,Earned
960,825,Present,Earned
961,4316,Present,None
962,1814,Present,Unpaid
963,2515,Present,None
964,4448,Present,Sick
965,4252,Leave,Unpaid
966,2434,Present,Casual
967,4356,Present,Earned
968,1701,Present,Sick
969,686,Leave,Casual
970,389,Present,Casual
971,219,Present,None
972,2828,Present,Earned
973,3907,Present,None
974,256,Present,Unpaid
975,1012,Present,None
976,4593,Leave,Sick
977,2455,Present,None
978,679,Leave,Sick
979,2875,Present,None
980,1359,WFH,None
981,3336,Present,Sick
982,2889,Present,None
983,4958,Present,Unpaid
984,2383,Present,Sick
985,4660,Present,Earned
986,3606,Leave,Sick
987,973,Present,Earned
988,1502,Present,Casual
989,4245,Present,None
990,3843,Present,Earned
991,2258,Leave,Earned
992,4988,Present,None
993,1885,Leave,None
994,4087,Present,Sick
995,1075,Present,Casual
996,4771,Present,Sick
997,1578,Leave,Unpaid
998,4794,Present,Earned
999,4497,Present,Earned
1000,1908,Leave,Earned
1001,3198,Present,Casual
1002,4733,Present,Casual
1003,4188,Present,None
1004,4022,WFH,Sick
1005,3571,Present,Earned
1006,482,Present,Casual
1007,150,Present,Sick
1008,4001,Leave,Earned
1009,182,Leave,None
1010,951,Present,Earned
1011,2782,Present,Unpaid
1012,1159,Present,Sick
1013,501,Leave,Earned
1014,4472,Present,Unpaid
1015,3753,Present,Earned
1016,9,WFH,Sick
1017,443,Absent,Earned
1018,318,Present,Casual
1019,1388,Present,Earned
1020,3769,Present,Casual
1021,4776,Present,Casual
1022,449,Present,Sick
1023,646,Leave,None
1024,3848,Leave,Casual
1025,1355,Present,Sick
1026,3603,Present,Casual
1027,3321,Present,Earned
1028,1013,Present,None
1029,3120,Leave,Earned
1030,4836,Present,Earned
1031,4413,Leave,Casual
1032,1561,Leave,Earned
1033,3787,Present,Sick
1034,2341,Absent,Casual
1035,2396,Present,Sick
1036,2823,Present,None
1037,3294,Present,None
1038,932,Present,Sick
1039,3243,Present,Earned
1040,3804,Present,Earned
1041,1192,Absent,Unpaid
1042,4404,Present,Earned
1043,456,Leave,Sick
1044,618,Present,Sick
1045,2483,Leave,Earned
1046,2220,Present,Casual
1047,4304,Present,Sick
1048,4685,Present,Sick
1049,181,Present,None
1050,729,Present,Earned
1051,3904,Present,Earned
1052,4166,Present,Earned
1053,471,Present,Earned
1054,1130,Present,Earned
1055,1368,Leave,None
1056,3172,WFH,Sick
1057,1283,Present,Earned
1058,664,Present,Sick
1059,3655,Present,Casual
1060,3283,Present,Casual
1061,4791,Leave,Earned
1062,4705,Absent,Earned
1063,3558,Present,Casual
1064,1219,Present,Unpaid
1065,1405,Leave,Sick
1066,2300,Leave,Unpaid
1067,3747,Present,Earned
1068,748,Leave,Unpaid
1069,1633,Leave,None
1070,115,Leave,Casual
1071,4276,Present,Unpaid
1072,3687,Present,Sick
1073,2053,Present,None
1074,343,Present,Unpaid
1075,359,Leave,Unpaid
1076,2609,Present,Unpaid
1077,391,Present,Earned
1078,440,Leave,Sick
1079,3568,Present,None
1080,2484,WFH,Unpaid
1081,1932,Present,Unpaid
1082,960,Present,None
1083,2303,Present,Sick
1084,1708,Present,Earned
1085,813,Present,Casual
1086,4468,Absent,Casual
1087,3983,Present,Casual
1088,1606,Present,Sick
1089,3125,Present,Earned
1090,3855,Present,Earned
1091,4424,Present,Earned
1092,4460,Present,Earned
1093,4911,Present,Unpaid
1094,4693,Present,Casual
1095,1223,Present,Unpaid
1096,1554,Present,Earned
1097,3506,Present,Sick
1098,3322,Present,Unpaid
1099,4122,Present,None
1100,1172,Leave,Sick
1101,1075,Present,None
1102,839,Present,Earned
1103,1645,Absent,Unpaid
1104,2442,Leave,Earned
1105,868,Present,None
1106,1223,Leave,Sick
1107,3663,Present,None
1108,3304,WFH,Casual
1109,28,Present,None
1110,4913,Leave,Earned
1111,61,Present,Casual
1112,4144,Present,Sick
1113,4317,Present,Earned
1114,3058,Present,Earned
1115,1472,Present,None
1116,3956,Present,Earned
1117,4313,Leave,Earned
1118,240,Leave,Casual
1119,4874,Present,None
1120,4824,Present,Earned
1121,3310,Present,Casual
1122,823,Present,Earned
1123,2758,Present,None
1124,2858,Leave,Unpaid
1125,144,Present,Earned
1126,3299,Present,Earned
1127,4839,Present,Earned
1128,568,Leave,Unpaid
1129,4530,Present,None
1130,407,Leave,None
1131,857,Leave,Earned
1132,4874,Present,Casual
1133,3331,Absent,Sick
1134,3822,Present,Unpaid
1135,1209,WFH,Casual
1136,277,Present,Earned
1137,2371,Present,None
1138,439,Present,Casual
1139,2334,Present,Unpaid
1140,2741,Leave,Unpaid
1141,1464,Present,Sick
1142,366,Present,Sick
1143,1169,Present,Earned
1144,4720,Present,Unpaid
1145,4671,Present,Casual
1146,703,Leave,Sick
1147,101,Leave,Unpaid
