employee_id,employee_name,department,facility_id,designation,status
102,Employee-102,IT,3,Manager,Active
103,Employee-103,IT,38,Senior Manager,Active
104,Employee-104,IT,3,Senior Manager,Active
105,Employee-105,IT,30,L4,Active
106,Employee-106,Operations,1,Manager,Active
107,Employee-107,Finance,30,L4,Active
108,Employee-108,Finance,45,L3,Active
109,Employee-109,IT,32,L1,Active
110,Employee-110,Finance,28,L3,Active
111,Employee-111,Finance,21,L1,Active
112,Employee-112,IT,46,L2,Active
113,Employee-113,Finance,13,Senior Manager,Active
114,Employee-114,Sales,27,L4,Active
115,Employee-115,HR,36,L2,Active
116,Employee-116,HR,7,L2,Active
117,Employee-117,IT,22,Senior Manager,Active
118,Employee-118,Operations,10,Senior Manager,Active
119,Employee-119,IT,39,L1,Active
120,Employee-120,Operations,15,L3,Inactive
121,Employee-121,HR,15,Manager,Active
122,Employee-122,IT,4,L1,Active
123,Employee-123,Support,32,Manager,Active
124,Employee-124,Sales,23,L2,Active
125,Employee-125,Finance,6,Manager,Active
126,Employee-126,Operations,24,L3,Active
127,Employee-127,Support,20,L1,Active
128,Employee-128,Finance,37,Senior Manager,Active
129,Employee-129,Finance,20,L3,Active
130,Employee-130,IT,12,L3,Active
131,Employee-131,Finance,33,L1,Active
132,Employee-132,Sales,28,Senior Manager,Active
133,Employee-133,Support,8,L3,Active
134,Employee-134,Finance,1,Senior Manager,Active
135,Employee-135,IT,37,L4,Active
136,Employee-136,Sales,22,L4,Active
137,Employee-137,HR,6,L4,Active
138,Employee-138,Support,21,Manager,Active
139,Employee-139,Finance,32,L3,Active
140,Employee-140,IT,35,L1,Active
141,Employee-141,HR,15,L1,Active
142,Employee-142,HR,5,Manager,Active
143,Employee-143,Operations,46,L1,Active
144,Employee-144,Sales,50,L4,Inactive
145,Employee-145,Finance,48,L3,Active
146,Employee-146,IT,6,L1,Active
147,Employee-147,Operations,25,L1,Active
148,Employee-148,Sales,46,L2,Active
149,Employee-149,Operations,40,L2,Active
150,Employee-150,Support,29,L2,Active
151,Employee-151,Sales,7,L3,Active
152,Employee-152,Sales,40,L4,Active
153,Employee-153,Finance,13,Senior Manager,Active
154,Employee-154,Sales,38,L4,Active
155,Employee-155,Operations,18,L4,Active
156,Employee-156,Sales,2,L3,Active
157,Employee-157,Finance,8,L3,Active
158,Employee-158,Finance,11,L2,Active
159,Employee-159,Support,33,L1,Active
160,Employee-160,Operations,38,Manager,Active
161,Employee-161,HR,48,Manager,Active
162,Employee-162,HR,27,Senior Manager,Active
163,Employee-163,Sales,20,L1,Active
164,Employee-164,Support,12,Senior Manager,Active
165,Employee-165,IT,43,L2,Active
166,Employee-166,Sales,31,Senior Manager,Active
167,Employee-167,Support,27,L1,Active
168,Employee-168,Operations,32,L1,Active
169,Employee-169,Operations,10,Manager,Active
170,Employee-170,Operations,3,L2,Active
171,Employee-171,Operations,45,L3,Active
172,Employee-172,Operations,27,Senior Manager,Active
173,Employee-173,Support,35,Manager,Active
174,Employee-174,Support,31,Senior Manager,Active
175,Employee-175,Finance,15,Senior Manager,Active
176,Employee-176,HR,16,L3,Active
177,Employee-177,Operations,13,L2,Active
178,Employee-178,IT,49,L1,Active
179,Employee-179,Support,35,L4,Inactive
180,Employee-180,IT,11,Senior Manager,Active
181,Employee-181,IT,21,L4,Active
182,Employee-182,IT,11,L2,Active
183,Employee-183,Finance,30,L4,Active
184,Employee-184,Support,48,Senior Manager,Active
185,Employee-185,IT,35,L3,Active
186,Employee-186,Operations,22,L4,Active
187,Employee-187,Sales,38,L2,Active
188,Employee-188,IT,31,L2,Active
189,Employee-189,Finance,14,L3,Active
190,Employee-190,Support,24,L4,Active
191,Employee-191,Finance,50,L4,Active
192,Employee-192,IT,49,L1,Inactive
193,Employee-193,Support,32,Manager,Active
194,Employee-194,Sales,36,L2,Active
195,Employee-195,IT,32,L1,Inactive
196,Employee-196,Finance,15,L2,Active
197,Employee-197,HR,43,L1,Active
198,Employee-198,Operations,35,Manager,Active
199,Employee-199,Finance,3,L1,Active
200,Employee-200,Support,16,L2,Active
201,Employee-201,IT,5,L4,Inactive
202,Employee-202,Operations,21,L2,Active
203,Employee-203,IT,10,Senior Manager,Active
204,Employee-204,Support,19,L3,Active
205,Employee-205,IT,25,L3,Active
206,Employee-206,HR,4,Senior Manager,Active
207,Employee-207,Operations,29,L3,Active
208,Employee-208,Operations,19,L3,Active
209,Employee-209,Support,43,Manager,Active
210,Employee-210,HR,2,L4,Active
211,Employee-211,Finance,10,L4,Active
212,Employee-212,IT,43,L2,Active
213,Employee-213,Sales,25,Senior Manager,Active
214,Employee-214,IT,20,L1,Active
215,Employee-215,IT,48,L2,Active
216,Employee-216,Finance,19,L2,Active
217,Employee-217,IT,23,L2,Active
218,Employee-218,HR,24,L2,Active
219,Employee-219,HR,11,L4,Active
220,Employee-220,Operations,46,L1,Active
221,Employee-221,Support,34,L2,Active
222,Employee-222,Sales,28,L4,Active
223,Employee-223,IT,5,L2,Active
224,Employee-224,IT,5,L3,Active
225,Employee-225,Finance,21,L2,Active
226,Employee-226,Support,12,Senior Manager,Active
227,Employee-227,HR,50,Senior Manager,Active
228,Employee-228,Sales,4,L2,Active
229,Employee-229,Operations,49,Manager,Active
230,Employee-230,HR,42,L3,Active
231,Employee-231,Support,20,L1,Inactive
232,Employee-232,Operations,38,L2,Active
233,Employee-233,Finance,25,L1,Active
234,Employee-234,Finance,14,L3,Active
235,Employee-235,IT,11,L2,Active
236,Employee-236,Support,32,Manager,Active
237,Employee-237,Sales,11,L4,Active
238,Employee-238,Operations,18,Manager,Active
239,Employee-239,HR,27,Manager,Active
240,Employee-240,Support,18,L4,Active
241,Employee-241,Support,23,L4,Active
242,Employee-242,Finance,11,Senior Manager,Active
243,Employee-243,IT,21,L4,Active
244,Employee-244,IT,44,L2,Active
245,Employee-245,Operations,5,L1,Active
246,Employee-246,Finance,23,Senior Manager,Active
247,Employee-247,Support,41,Senior Manager,Active
248,Employee-248,Sales,25,L1,Active
249,Employee-249,Finance,41,Senior Manager,Active
250,Employee-250,Operations,10,L4,Active
251,Employee-251,Operations,22,Manager,Active
252,Employee-252,Finance,19,L3,Active
253,Employee-253,Operations,1,L4,Active
254,Employee-254,Finance,7,Manager,Inactive
255,Employee-255,HR,4,Manager,Inactive
256,Employee-256,Finance,1,Senior Manager,Active
257,Employee-257,Finance,15,L2,Active
258,Employee-258,Operations,40,L2,Active
259,Employee-259,Operations,12,Senior Manager,Active
260,Employee-260,IT,22,Senior Manager,Active
261,Employee-261,IT,22,L1,Active
262,Employee-262,HR,50,L1,Active
263,Employee-263,IT,47,L3,Active
264,Employee-264,Finance,17,L3,Active
265,Employee-265,Operations,29,L3,Active
266,Employee-266,IT,46,L3,Active
267,Employee-267,IT,14,Manager,Active
268,Employee-268,HR,50,Manager,Active
269,Employee-269,Support,20,L1,Active
270,Employee-270,HR,50,L2,Active
271,Employee-271,Finance,48,Senior Manager,Active
272,Employee-272,Operations,33,L2,Active
273,Employee-273,HR,43,L4,Active
274,Employee-274,IT,15,Manager,Active
275,Employee-275,Operations,12,L3,Active
276,Employee-276,Operations,40,L3,Active
277,Employee-277,IT,20,L4,Active
278,Employee-278,HR,30,L2,Active
279,Employee-279,IT,38,L3,Inactive
280,Employee-280,Support,3,L2,Active
281,Employee-281,Operations,28,Senior Manager,Inactive
282,Employee-282,Sales,26,L4,Active
283,Employee-283,Sales,30,L2,Active
284,Employee-284,Finance,13,Senior Manager,Active
285,Employee-285,IT,13,L2,Active
286,Employee-286,IT,2,L2,Active
287,Employee-287,Finance,37,L3,Active
288,Employee-288,Finance,49,L1,Active
289,Employee-289,Finance,38,Manager,Active
290,Employee-290,Operations,2,L2,Active
291,Employee-291,Support,36,L2,Active
292,Employee-292,IT,26,L2,Active
293,Employee-293,Operations,11,L1,Active
294,Employee-294,Finance,8,Senior Manager,Active
295,Employee-295,IT,44,L4,Active
296,Employee-296,Operations,40,L3,Active
297,Employee-297,Support,43,L1,Active
298,Employee-298,Operations,22,Senior Manager,Active
299,Employee-299,Support,20,L2,Active
300,Employee-300,Finance,8,Senior Manager,Active
301,Employee-301,Support,29,L1,Active
302,Employee-302,IT,40,L1,Active
303,Employee-303,Finance,26,L1,Active
304,Employee-304,IT,30,L4,Active
305,Employee-305,Sales,17,Manager,Active
306,Employee-306,HR,20,L3,Active
307,Employee-307,Support,16,L4,Active
308,Employee-308,HR,46,L4,Active
309,Employee-309,HR,43,Manager,Active
310,Employee-310,Support,7,L4,Active
311,Employee-311,Finance,16,L1,Active
312,Employee-312,Sales,45,L1,Active
313,Employee-313,IT,47,Senior Manager,Active
314,Employee-314,Operations,48,L2,Active
315,Employee-315,IT,27,L4,Active
316,Employee-316,Operations,23,L2,Active
317,Employee-317,IT,24,L3,Active
318,Employee-318,Support,9,L1,Active
319,Employee-319,Sales,35,Senior Manager,Active
320,Employee-320,Operations,20,L3,Active
321,Employee-321,Finance,37,Senior Manager,Active
322,Employee-322,IT,42,Manager,Active
323,Employee-323,IT,17,L1,Active
324,Employee-324,Operations,47,L3,Active
325,Employee-325,Finance,31,Manager,Active
326,Employee-326,Finance,8,L3,Active
327,Employee-327,Support,15,Senior Manager,Active
328,Employee-328,Support,31,Manager,Active
329,Employee-329,Support,30,Manager,Active
330,Employee-330,Support,46,L1,Active
331,Employee-331,Support,20,L2,Active
332,Employee-332,Support,39,Senior Manager,Active
333,Employee-333,Sales,12,Senior Manager,Active
334,Employee-334,Finance,49,Manager,Active
335,Employee-335,Support,17,Manager,Active
336,Employee-336,Finance,42,L1,Active
337,Employee-337,Finance,30,L2,Active
338,Employee-338,HR,29,Senior Manager,Active
339,Employee-339,Sales,19,L4,Active
340,Employee-340,Support,46,L4,Active
341,Employee-341,IT,11,L2,Active
342,Employee-342,Operations,34,L3,Active
343,Employee-343,IT,50,L1,Active
344,Employee-344,Sales,7,L2,Active
345,Employee-345,Operations,44,L4,Active
346,Employee-346,Sales,34,Manager,Active
347,Employee-347,Finance,20,L4,Active
348,Employee-348,Operations,50,Manager,Active
349,Employee-349,Finance,38,L1,Active
350,Employee-350,IT,24,Manager,Active
351,Employee-351,IT,10,L2,Active
352,Employee-352,Operations,32,Manager,Active
353,Employee-353,Operations,15,L3,Active
354,Employee-354,Support,37,L2,Active
355,Employee-355,Sales,20,L1,Active
356,Employee-356,Support,3,L2,Active
357,Employee-357,Sales,37,L3,Inactive
358,Employee-358,Support,40,L1,Active
359,Employee-359,Finance,8,L4,Active
360,Employee-360,Operations,40,L3,Active
361,Employee-361,IT,44,L1,Active
362,Employee-362,Sales,23,Manager,Active
363,Employee-363,Sales,40,L2,Active
364,Employee-364,IT,11,L1,Active
365,Employee-365,Support,46,L2,Inactive
366,Employee-366,Sales,8,Manager,Active
367,Employee-367,Finance,29,L1,Active
368,Employee-368,Operations,30,L4,Active
369,Employee-369,IT,10,L3,Active
370,Employee-370,Operations,39,L1,Active
371,Employee-371,Sales,28,Manager,Active
372,Employee-372,Sales,49,L1,Active
373,Employee-373,IT,36,L2,Active
374,Employee-374,Finance,13,Senior Manager,Active
375,Employee-375,HR,32,L1,Inactive
376,Employee-376,IT,36,L4,Active
377,Employee-377,HR,37,L1,Active
378,Employee-378,Support,26,L3,Active
379,Employee-379,HR,22,L1,Active
380,Employee-380,Finance,4,Senior Manager,Active
381,Employee-381,Support,31,L2,Active
382,Employee-382,HR,18,L1,Active
383,Employee-383,Support,38,L4,Active
384,Employee-384,HR,24,Manager,Active
385,Employee-385,Finance,23,L1,Active
386,Employee-386,HR,22,L1,Active
387,Employee-387,HR,2,L3,Active
388,Employee-388,HR,31,L4,Active
389,Employee-389,IT,11,Senior Manager,Active
390,Employee-390,IT,28,Manager,Active
391,Employee-391,IT,46,L2,Active
392,Employee-392,Finance,32,L1,Active
393,Employee-393,Support,5,Senior Manager,Active
394,Employee-394,Sales,38,Manager,Active
395,Employee-395,HR,10,L2,Inactive
396,Employee-396,HR,40,Senior Manager,Active
397,Employee-397,Finance,46,L4,Active
398,Employee-398,HR,24,L4,Active
399,Employee-399,IT,35,Manager,Active
400,Employee-400,Sales,44,L2,Active
401,Employee-401,Operations,48,L4,Active
402,Employee-402,HR,23,Manager,Active
403,Employee-403,IT,17,L4,Active
404,Employee-404,Operations,1,L4,Active
405,Employee-405,Sales,31,Senior Manager,Active
406,Employee-406,Operations,31,Senior Manager,Active
407,Employee-407,IT,42,L4,Active
408,Employee-408,Support,42,L3,Active
409,Employee-409,Support,34,Senior Manager,Active
410,Employee-410,Operations,9,L2,Active
411,Employee-411,Finance,22,Manager,Active
412,Employee-412,Operations,13,Manager,Active
413,Employee-413,HR,25,L2,Active
414,Employee-414,HR,48,L2,Active
415,Employee-415,Support,18,L2,Active
416,Employee-416,Finance,12,L2,Active
417,Employee-417,IT,40,L1,Active
418,Employee-418,HR,17,Manager,Active
419,Employee-419,Support,15,L1,Active
420,Employee-420,Sales,42,L4,Active
421,Employee-421,Support,15,L4,Active
422,Employee-422,HR,15,Manager,Active
423,Employee-423,HR,39,L4,Active
424,Employee-424,Support,13,L2,Active
425,Employee-425,IT,17,L1,Active
426,Employee-426,Operations,32,L2,Inactive
427,Employee-427,HR,9,L4,Active
428,Employee-428,Support,40,Senior Manager,Active
429,Employee-429,Support,20,L1,Active
430,Employee-430,Finance,26,L2,Active
431,Employee-431,Operations,27,Manager,Active
432,Employee-432,Sales,21,L2,Active
433,Employee-433,IT,18,Senior Manager,Active
434,Employee-434,Sales,13,L4,Active
435,Employee-435,Operations,16,L1,Active
436,Employee-436,Operations,9,Manager,Active
437,Employee-437,Operations,12,L1,Active
438,Employee-438,Sales,44,Manager,Active
439,Employee-439,Operations,38,L1,Active
440,Employee-440,Support,19,L4,Active
441,Employee-441,Sales,7,Manager,Inactive
442,Employee-442,Operations,35,L3,Active
443,Employee-443,Support,48,L1,Active
444,Employee-444,Finance,18,L1,Active
445,Employee-445,Operations,16,L2,Inactive
446,Employee-446,Sales,39,Manager,Active
447,Employee-447,HR,4,Senior Manager,Active
448,Employee-448,Operations,25,L3,Inactive
449,Employee-449,HR,32,L4,Active
450,Employee-450,Support,40,L2,Active
451,Employee-451,Finance,13,L3,Active
452,Employee-452,IT,45,Manager,Active
453,Employee-453,Finance,17,L3,Active
454,Employee-454,Operations,49,L1,Active
455,Employee-455,HR,37,L1,Active
456,Employee-456,HR,6,L2,Active
457,Employee-457,Sales,19,Manager,Active
458,Employee-458,HR,13,Manager,Active
459,Employee-459,Sales,26,L3,Active
460,Employee-460,Support,14,L2,Active
461,Employee-461,IT,31,Manager,Active
462,Employee-462,Operations,4,Senior Manager,Active
463,Employee-463,Sales,39,Senior Manager,Active
464,Employee-464,IT,8,L1,Active
465,Employee-465,HR,25,L3,Active
466,Employee-466,HR,13,L4,Active
467,Employee-467,IT,32,L1,Active
468,Employee-468,HR,38,L2,Active
469,Employee-469,Support,38,Manager,Active
470,Employee-470,Support,28,L1,Active
471,Employee-471,IT,30,L4,Active
472,Employee-472,Sales,3,L4,Active
473,Employee-473,Sales,28,Senior Manager,Active
474,Employee-474,IT,3,L2,Active
475,Employee-475,Sales,45,L1,Active
476,Employee-476,Sales,34,L3,Active
477,Employee-477,Support,16,L1,Active
478,Employee-478,Sales,22,Senior Manager,Active
479,Employee-479,Finance,32,L4,Active
480,Employee-480,Operations,38,L2,Active
481,Employee-481,HR,8,L2,Active
482,Employee-482,Finance,8,L3,Active
483,Employee-483,Sales,6,L2,Active
484,Employee-484,Support,14,Senior Manager,Active
485,Employee-485,IT,32,Senior Manager,Inactive
486,Employee-486,Sales,35,Senior Manager,Active
487,Employee-487,Support,10,L2,Active
488,Employee-488,Operations,3,L2,Active
489,Employee-489,Sales,12,Senior Manager,Active
490,Employee-490,IT,49,L2,Active
491,Employee-491,Support,31,L2,Active
492,Employee-492,Support,29,L4,Active
493,Employee-493,Support,5,L1,Active
494,Employee-494,Operations,25,Manager,Active
495,Employee-495,Sales,41,L2,Active
496,Employee-496,Operations,31,Manager,Active
497,Employee-497,HR,21,Manager,Inactive
498,Employee-498,HR,20,L4,Active
499,Employee-499,Sales,39,L2,Active
500,Employee-500,Operations,22,Senior Manager,Active
501,Employee-501,IT,4,Manager,Active
502,Employee-502,Support,13,L2,Inactive
503,Employee-503,Support,45,L3,Active
504,Employee-504,Sales,42,Senior Manager,Active
505,Employee-505,HR,50,L3,Inactive
506,Employee-506,HR,49,L3,Active
507,Employee-507,Support,20,Manager,Active
508,Employee-508,Sales,13,L3,Active
509,Employee-509,Operations,17,L4,Active
510,Employee-510,HR,36,L4,Active
511,Employee-511,Operations,33,Manager,Active
512,Employee-512,HR,1,L2,Active
513,Employee-513,HR,15,L1,Active
514,Employee-514,Finance,13,L2,Active
515,Employee-515,HR,17,L2,Active
516,Employee-516,IT,24,L2,Active
517,Employee-517,Sales,8,L2,Active
518,Employee-518,Sales,50,Senior Manager,Active
519,Employee-519,Operations,27,L1,Active
520,Employee-520,HR,45,Senior Manager,Active
521,Employee-521,IT,23,L3,Active
522,Employee-522,Operations,46,L2,Active
523,Employee-523,Finance,8,L4,Active
524,Employee-524,Operations,8,Manager,Active
525,Employee-525,Operations,26,Manager,Active
526,Employee-526,HR,47,Senior Manager,Active
527,Employee-527,Finance,13,Senior Manager,Active
528,Employee-528,Operations,39,L4,Active
529,Employee-529,IT,37,L2,Active
530,Employee-530,IT,49,L1,Active
531,Employee-531,Sales,28,L3,Inactive
532,Employee-532,Finance,25,Manager,Active
533,Employee-533,Finance,16,L3,Active
534,Employee-534,Sales,2,L1,Active
535,Employee-535,Operations,18,Senior Manager,Active
536,Employee-536,Finance,17,Manager,Active
537,Employee-537,IT,30,L3,Active
538,Employee-538,IT,39,Senior Manager,Active
539,Employee-539,HR,13,L1,Active
540,Employee-540,Finance,32,L3,Active
541,Employee-541,Operations,50,L2,Active
542,Employee-542,Sales,29,Senior Manager,Active
543,Employee-543,Sales,46,L1,Active
544,Employee-544,Operations,30,L3,Active
545,Employee-545,Support,18,L2,Active
546,Employee-546,HR,13,L2,Active
547,Employee-547,Sales,43,L1,Active
548,Employee-548,Finance,21,L4,Active
549,Employee-549,HR,30,Manager,Active
550,Employee-550,Finance,21,L1,Active
551,Employee-551,IT,48,L2,Active
552,Employee-552,HR,17,L2,Active
553,Employee-553,Sales,40,L1,Active
554,Employee-554,HR,19,L4,Active
555,Employee-555,HR,15,Manager,Active
556,Employee-556,HR,9,L3,Active
557,Employee-557,Support,10,L1,Active
558,Employee-558,HR,44,Manager,Active
559,Employee-559,Finance,31,Manager,Active
560,Employee-560,IT,23,Senior Manager,Active
561,Employee-561,Operations,30,L2,Inactive
562,Employee-562,HR,33,L3,Active
563,Employee-563,Sales,9,L1,Active
564,Employee-564,HR,47,L2,Active
565,Employee-565,Sales,1,Senior Manager,Active
566,Employee-566,Finance,44,Senior Manager,Active
567,Employee-567,Sales,35,L2,Active
568,Employee-568,Operations,11,L4,Active
569,Employee-569,IT,34,Manager,Active
570,Employee-570,Sales,16,L1,Active
571,Employee-571,Sales,9,L1,Active
572,Employee-572,IT,32,L1,Inactive
573,Employee-573,Operations,15,L2,Active
574,Employee-574,HR,12,L4,Active
575,Employee-575,Sales,33,L3,Active
576,Employee-576,IT,45,Senior Manager,Active
577,Employee-577,Finance,14,L2,Active
578,Employee-578,IT,8,L3,Active
579,Employee-579,Finance,8,Senior Manager,Active
580,Employee-580,Operations,27,Senior Manager,Active
581,Employee-581,HR,12,L4,Active
582,Employee-582,IT,1,Manager,Active
583,Employee-583,Support,43,L1,Active
584,Employee-584,Sales,40,L3,Active
585,Employee-585,Operations,42,L2,Active
586,Employee-586,IT,11,L3,Active
587,Employee-587,Sales,39,Manager,Active
588,Employee-588,IT,43,L1,Active
589,Employee-589,Finance,31,L3,Active
590,Employee-590,IT,17,Manager,Active
591,Employee-591,Support,33,L2,Active
592,Employee-592,IT,32,L4,Inactive
593,Employee-593,IT,29,Senior Manager,Active
594,Employee-594,Support,21,L2,Inactive
595,Employee-595,Operations,21,L1,Active
596,Employee-596,IT,40,Senior Manager,Active
597,Employee-597,Support,23,L2,Active
598,Employee-598,Sales,6,L2,Active
599,Employee-599,Finance,22,L2,Active
600,Employee-600,Finance,50,L2,Active
601,Employee-601,IT,38,Senior Manager,Active
602,Employee-602,Operations,37,L1,Active
603,Employee-603,Operations,45,Manager,Active
604,Employee-604,Sales,8,L3,Active
605,Employee-605,IT,41,L4,Active
606,Employee-606,Finance,49,L3,Active
607,Employee-607,Operations,35,L3,Active
608,Employee-608,IT,11,L4,Active
609,Employee-609,Operations,24,Senior Manager,Active
610,Employee-610,Support,49,L1,Active
611,Employee-611,Operations,21,L4,Active
612,Employee-612,Finance,2,L1,Active
613,Employee-613,HR,40,Senior Manager,Active
614,Employee-614,Sales,19,L3,Active
615,Employee-615,Sales,39,L1,Active
616,Employee-616,Finance,28,Senior Manager,Active
617,Employee-617,Operations,17,Senior Manager,Active
618,Employee-618,IT,6,Manager,Active
619,Employee-619,Operations,19,L4,Active
620,Employee-620,Finance,38,Manager,Active
621,Employee-621,Sales,28,L3,Active
622,Employee-622,Operations,2,L4,Active
623,Employee-623,Sales,38,L3,Active
624,Employee-624,IT,37,Manager,Active
625,Employee-625,Sales,4,Senior Manager,Active
626,Employee-626,Sales,22,L3,Active
627,Employee-627,HR,26,L4,Active
628,Employee-628,HR,49,L4,Active
629,Employee-629,Support,43,L3,Active
630,Employee-630,HR,36,L4,Active
631,Employee-631,Sales,13,Senior Manager,Active
632,Employee-632,Finance,32,Senior Manager,Active
633,Employee-633,Sales,17,L4,Active
634,Employee-634,Finance,41,L3,Active
635,Employee-635,Finance,36,Manager,Active
636,Employee-636,HR,46,L4,Active
637,Employee-637,Operations,19,L4,Active
638,Employee-638,IT,35,L4,Active
639,Employee-639,HR,46,L4,Inactive
640,Employee-640,HR,40,L3,Active
641,Employee-641,Operations,28,Manager,Active
642,Employee-642,IT,1,Manager,Active
643,Employee-643,Sales,42,L1,Active
644,Employee-644,Support,18,L4,Active
645,Employee-645,Support,48,L4,Active
646,Employee-646,Sales,40,L1,Active
647,Employee-647,HR,33,Manager,Active
648,Employee-648,IT,12,L2,Active
649,Employee-649,HR,8,Senior Manager,Active
650,Employee-650,Finance,24,L2,Active
651,Employee-651,HR,16,Manager,Active
652,Employee-652,HR,50,L4,Active
653,Employee-653,Sales,4,L2,Active
654,Employee-654,Sales,38,L3,Active
655,Employee-655,Sales,44,L3,Active
656,Employee-656,Support,27,L1,Active
657,Employee-657,Finance,9,Manager,Active
658,Employee-658,Sales,47,Manager,Active
659,Employee-659,IT,16,L2,Active
660,Employee-660,Support,12,L4,Active
661,Employee-661,Operations,31,Manager,Active
662,Employee-662,IT,24,L2,Active
663,Employee-663,IT,14,L2,Active
664,Employee-664,Sales,45,Senior Manager,Active
665,Employee-665,Operations,25,Senior Manager,Active
666,Employee-666,Operations,34,Manager,Active
667,Employee-667,Support,3,L2,Active
668,Employee-668,Operations,24,L1,Active
669,Employee-669,Finance,42,L1,Active
670,Employee-670,Sales,9,Senior Manager,Active
671,Employee-671,Operations,26,Manager,Active
672,Employee-672,Support,20,L4,Active
673,Employee-673,Finance,40,L1,Active
674,Employee-674,HR,10,L1,Active
675,Employee-675,HR,19,Senior Manager,Active
676,Employee-676,Finance,3,Senior Manager,Active
677,Employee-677,Support,24,Manager,Active
678,Employee-678,Finance,5,Senior Manager,Active
679,Employee-679,Sales,3,L3,Active
680,Employee-680,Sales,27,L2,Active
681,Employee-681,HR,16,L1,Active
682,Employee-682,Operations,49,L3,Inactive
683,Employee-683,Support,15,L4,Active
