deployment_id,facility_id,department,sanctioned_positions,actual_headcount
478,21,HR,90,113
479,32,Support,35,15
480,2,Support,125,126
481,5,Finance,14,50
482,5,IT,37,81
483,36,HR,129,78
484,3,Finance,78,71
485,27,Operations,104,99
486,7,Operations,115,110
487,34,Support,92,131
488,33,Sales,21,8
489,8,Support,21,103
490,49,HR,79,130
491,23,IT,135,97
492,37,IT,24,94
493,34,HR,10,78
494,5,Sales,24,69
495,31,Sales,80,110
496,20,HR,87,58
497,38,Finance,137,71
498,46,Operations,82,10
499,4,HR,99,128
500,26,Finance,129,35
501,21,Sales,43,103
502,36,Finance,10,76
503,32,HR,13,110
504,4,Support,55,15
505,19,Operations,105,103
506,17,Support,50,127
507,25,Finance,74,91
508,38,IT,88,134
509,15,IT,129,82
510,36,Sales,12,135
511,25,Sales,79,126
512,6,HR,26,60
513,7,Support,108,64
514,48,Finance,71,147
515,8,Finance,135,71
516,27,HR,114,41
517,33,Sales,77,83
518,29,Support,68,91
519,37,Finance,134,140
520,9,HR,52,134
521,23,Sales,132,112
522,5,IT,70,86
523,23,IT,36,35
524,27,Support,109,100
525,26,IT,64,67
526,5,IT,99,123
527,50,Support,107,147
528,8,IT,134,122
529,35,Finance,131,58
530,32,Operations,17,14
531,13,Support,61,46
532,41,Finance,90,103
533,30,Sales,36,32
534,2,Sales,10,17
535,42,Sales,131,119
536,33,Support,63,58
537,25,IT,20,132
538,8,HR,29,133
539,23,Sales,64,87
540,46,Finance,75,125
541,26,Operations,65,94
542,42,HR,134,94
543,36,Sales,61,84
544,38,Support,65,127
545,26,Sales,76,80
546,23,Sales,118,100
547,16,HR,25,58
548,10,IT,101,28
549,9,Support,21,53
550,45,Operations,42,39
551,40,HR,140,85
552,20,Finance,49,139
553,35,Sales,136,144
554,30,Support,141,110
555,37,Finance,93,77
556,42,Operations,149,51
557,50,IT,121,100
558,45,Sales,142,122
559,8,IT,50,109
560,17,IT,148,99
561,34,Operations,26,144
562,27,Sales,75,77
563,39,Finance,102,28
564,42,HR,124,138
565,28,Support,37,139
566,48,HR,129,32
567,48,Sales,31,80
568,16,Finance,106,95
569,42,Operations,51,97
570,10,IT,96,59
571,3,IT,59,147
572,41,Finance,133,144
573,35,IT,66,9
574,38,HR,139,90
575,34,IT,130,8
576,29,Finance,77,128
577,25,HR,82,14
578,1,IT,28,69
579,35,Sales,18,55
580,9,Sales,97,60
581,44,Support,94,46
582,39,Finance,39,40
583,17,IT,27,134
584,45,IT,115,142
585,32,Support,127,118
586,41,Sales,113,84
587,13,Support,59,143
588,32,Sales,11,64
589,7,HR,83,123
590,16,Sales,140,10
591,5,HR,115,69
592,38,Finance,25,70
593,1,IT,90,130
594,25,Operations,95,84
595,21,Sales,25,38
596,45,Support,103,48
597,39,Sales,142,109
598,3,Support,111,86
599,1,HR,16,57
600,48,Finance,118,36
601,33,Finance,108,54
602,30,IT,140,126
603,30,Finance,86,32
604,23,Sales,131,117
605,3,Sales,120,30
606,38,HR,114,68
607,44,Support,50,77
608,42,Operations,22,141
609,21,Finance,38,91
610,45,Finance,52,64
611,8,IT,28,63
612,43,Finance,119,81
613,3,Support,79,73
614,24,Finance,19,51
615,14,Support,55,66
616,22,Operations,141,51
617,22,Support,88,130
618,37,Finance,37,35
619,23,IT,98,19
620,47,Support,41,118
621,34,Operations,145,82
622,14,Finance,123,38
623,13,HR,57,120
624,21,Finance,102,18
625,41,Sales,136,57
626,1,HR,41,30
627,3,Operations,48,42
628,49,HR,109,55
629,30,HR,112,55
630,16,Finance,42,44
631,12,Sales,59,12
632,37,Finance,23,146
633,30,HR,43,138
634,1,Finance,109,33
635,42,Finance,97,14
636,22,Operations,49,105
637,19,Sales,67,57
638,40,Operations,73,88
639,20,Support,117,89
640,42,HR,53,147
641,14,IT,93,15
642,9,HR,98,77
643,20,Finance,45,132
644,9,Support,11,83
645,34,Operations,113,64
646,40,HR,135,125
647,41,HR,14,66
648,6,HR,21,32
649,27,HR,52,125
650,24,Operations,108,75
651,7,Sales,105,48
652,13,Support,77,122
653,39,Sales,83,64
654,11,Sales,62,37
655,20,Operations,149,125
656,17,Finance,75,75
657,6,Finance,48,33
658,5,IT,65,41
659,19,IT,121,130
660,44,HR,112,24
661,6,IT,94,52
662,19,IT,129,57
663,25,IT,21,121
664,17,Finance,30,24
665,47,Support,115,12
666,18,HR,66,61
667,2,HR,82,51
668,8,Finance,48,23
669,14,HR,81,67
670,38,Support,85,147
671,20,IT,56,80
672,14,HR,26,28
673,31,Finance,83,40
674,34,Finance,24,22
675,12,Operations,123,108
676,30,Support,59,91
677,47,IT,94,121
678,1,HR,53,107
679,17,Sales,36,78
680,43,Operations,12,113
681,36,Support,52,62
682,33,IT,85,98
683,26,Operations,55,64
684,23,IT,90,61
685,16,Finance,45,14
686,32,IT,129,74
687,50,IT,30,104
688,10,Operations,133,39
689,26,Finance,19,20
690,27,Support,116,119
691,22,Sales,126,112
692,21,IT,56,45
693,13,HR,46,70
694,14,Operations,51,111
695,11,Finance,47,122
696,45,Finance,137,111
697,47,HR,108,36
698,44,Support,41,94
699,39,Sales,60,85
700,40,Sales,133,60
701,40,Finance,26,19
702,37,Support,123,71
703,50,Finance,146,49
704,49,Finance,32,119
705,32,Support,134,17
706,8,IT,35,65
707,29,IT,64,100
708,11,Sales,12,71
709,13,Sales,104,56
710,11,Sales,82,141
711,6,Sales,92,106
712,5,Sales,12,61
713,10,Finance,47,122
714,32,Finance,29,111
715,49,HR,114,80
716,35,Finance,107,138
717,11,HR,106,57
718,9,HR,66,139
719,22,Operations,78,92
720,9,IT,124,90
721,22,Sales,137,147
722,19,Operations,59,147
723,46,IT,85,23
724,49,Finance,133,41
725,33,Operations,136,28
726,30,Operations,103,32
727,14,Finance,95,133
728,49,Finance,145,147
729,38,Operations,46,107
730,24,Sales,47,23
731,38,IT,143,16
732,28,Operations,133,33
733,46,Finance,73,76
734,36,Sales,112,12
735,5,IT,110,74
736,3,Sales,15,75
737,3,Sales,149,51
738,31,Finance,27,114
739,34,HR,32,130
740,33,Finance,129,53
741,7,Finance,74,42
742,28,Finance,27,143
743,5,Support,78,16
744,38,Operations,110,90
745,3,Finance,57,33
746,10,Finance,60,69
747,30,Sales,13,13
748,44,Finance,88,49
749,3,HR,33,76
750,26,Support,120,28
751,21,HR,59,78
752,36,Support,145,72
753,24,HR,15,61
754,17,Finance,71,59
755,45,Sales,58,145
756,17,Sales,46,100
757,1,HR,51,129
758,38,Operations,101,134
759,6,Operations,147,141
760,24,IT,102,138
761,9,Operations,99,125
762,27,Finance,65,101
763,31,HR,45,26
764,13,IT,28,22
765,16,IT,65,31
766,4,Support,89,29
767,27,Sales,127,48
768,43,Finance,49,13
769,3,HR,108,95
770,21,Operations,51,66
771,16,Support,63,27
772,13,IT,94,97
773,4,Sales,26,110
774,25,Sales,83,22
775,39,IT,21,47
776,12,Finance,120,67
777,20,IT,149,138
778,39,Sales,57,77
779,42,Sales,40,63
780,46,Support,95,135
781,5,Sales,30,47
782,1,Sales,18,45
783,8,Sales,122,41
784,20,IT,34,42
785,4,Finance,80,63
786,12,HR,58,88
787,39,HR,139,11
788,37,Operations,81,121
789,4,Finance,65,141
790,30,Sales,13,143
791,23,Finance,15,145
792,19,HR,111,80
793,38,Finance,134,94
794,37,Operations,96,85
795,27,Operations,42,24
796,28,Operations,96,118
797,33,HR,98,73
798,40,Operations,72,57
799,23,IT,56,110
800,9,Support,32,10
801,36,IT,96,25
802,14,Operations,111,128
803,15,IT,32,141
804,44,IT,99,111
805,27,Support,68,77
806,28,Operations,46,133
807,40,IT,83,18
808,16,Operations,39,33
809,15,HR,30,34
810,29,Finance,51,20
811,42,HR,89,129
812,7,Sales,90,21
813,39,Operations,68,126
814,32,Finance,85,84
815,37,HR,52,128
816,49,HR,65,8
817,39,Sales,146,33
818,38,Support,44,40
819,16,Finance,143,79
820,41,Support,126,47
821,42,HR,38,10
822,21,Finance,99,87
823,21,Operations,88,60
824,45,HR,85,42
825,46,Sales,134,147
826,30,Operations,59,78
827,49,HR,114,100
828,3,Finance,40,30
829,9,Sales,54,34
830,36,Support,147,108
831,40,Support,146,147
832,39,Operations,78,44
833,24,Operations,23,77
834,2,HR,136,46
835,7,Finance,26,57
836,14,Finance,32,117
837,9,Support,108,82
838,33,Sales,44,61
839,21,Support,144,42
840,39,Operations,132,140
841,46,Support,78,112
842,44,IT,61,101
843,45,IT,67,145
844,6,IT,117,86
845,39,Sales,57,49
846,18,HR,31,18
847,2,Support,27,37
848,39,Finance,111,127
849,38,Operations,83,108
850,21,Operations,68,69
851,45,IT,116,136
852,34,Support,56,88
853,22,IT,76,145
854,6,Finance,71,77
855,28,Sales,57,127
856,41,Operations,71,24
857,40,HR,42,122
858,47,Operations,95,24
859,50,IT,68,27
860,35,Finance,12,102
861,25,Support,52,34
862,24,Finance,29,58
863,39,Sales,94,123
864,29,Support,121,45
865,12,HR,14,86
866,10,Operations,107,72
867,37,Finance,12,86
868,35,Operations,82,15
869,17,IT,57,62
870,37,HR,107,80
871,2,Support,46,91
872,1,Operations,53,34
873,27,Finance,47,92
874,25,Operations,148,128
875,20,Operations,136,80
876,31,IT,111,103
877,38,Support,11,132
878,22,Operations,53,85
879,15,IT,48,100
880,50,IT,92,26
881,34,HR,30,127
882,13,Operations,65,71
883,27,Operations,103,70
884,30,Operations,10,17
885,36,HR,132,37
886,46,Finance,90,9
887,26,Support,48,61
888,49,Finance,123,67
889,26,Finance,49,59
890,9,Sales,47,149
891,2,Support,87,79
892,1,HR,118,49
893,19,Operations,120,30
894,39,Finance,29,70
895,14,Operations,121,53
896,18,HR,143,96
897,23,IT,35,19
898,26,IT,50,139
899,8,Support,20,143
900,13,Support,15,46
901,23,Operations,101,145
902,40,HR,68,17
903,39,Operations,14,140
904,33,Support,94,124
905,27,IT,16,118
906,26,Finance,22,126
907,3,Finance,30,39
908,20,Finance,78,96
909,37,IT,109,55
910,5,Operations,89,139
911,45,Operations,29,84
912,27,Operations,61,102
913,34,Finance,90,83
914,28,Operations,108,104
915,30,Support,32,25
916,45,Operations,99,39
917,12,IT,53,74
918,13,Finance,18,23
919,7,Support,105,54
920,5,HR,89,64
921,27,Operations,94,144
922,31,IT,89,59
923,38,Operations,82,16
924,3,Operations,109,83
925,20,Sales,19,111
926,26,HR,111,104
927,25,Finance,64,59
928,12,HR,29,36
929,27,IT,122,27
930,26,HR,28,131
931,41,HR,125,144
932,5,Operations,28,26
933,10,IT,68,22
934,48,Sales,143,49
935,21,Operations,82,103
936,8,Operations,82,29
937,28,Sales,10,116
938,48,Sales,80,46
939,31,Sales,96,74
940,4,Finance,143,71
941,48,Finance,39,40
942,25,IT,86,42
943,40,HR,118,28
944,20,Operations,89,55
945,31,Finance,84,119
946,34,Support,16,32
947,6,Sales,23,143
948,28,Operations,83,139
949,27,Finance,46,144
950,41,Finance,117,125
951,23,IT,75,45
952,27,Finance,83,102
953,16,Support,83,37
954,44,Finance,30,15
955,33,Sales,35,18
956,23,Operations,103,89
957,24,Support,107,55
958,34,Sales,132,137
959,29,IT,40,55
960,42,Sales,50,107
961,5,Sales,63,17
962,30,IT,69,61
963,39,Sales,146,128
964,28,Support,46,118
965,42,Support,111,142
966,21,Support,65,118
967,44,HR,74,14
968,21,HR,52,30
969,38,IT,12,25
970,25,Sales,59,116
971,41,Sales,28,145
972,27,HR,78,12
973,36,Support,71,17
974,4,Sales,45,60
975,48,Support,113,48
976,47,Operations,113,67
977,24,Finance,59,54
978,44,Sales,45,96
979,27,Sales,14,17
980,5,Finance,57,91
981,21,HR,14,121
982,32,Sales,13,43
983,41,Support,105,109
984,8,Support,62,118
985,29,Sales,94,85
986,10,Finance,36,104
987,33,IT,142,60
988,18,IT,145,108
989,10,Finance,40,93
990,22,Operations,42,140
991,44,Sales,55,85
992,2,IT,88,56
993,13,Support,117,65
994,41,Finance,44,132
995,23,IT,27,89
996,33,HR,91,119
997,37,Finance,46,144
998,23,HR,58,68
999,45,Support,72,112
1000,10,Finance,136,92
1001,48,Support,70,98
1002,37,Support,144,94
1003,40,IT,120,115
1004,30,HR,114,48
1005,31,IT,105,23
1006,8,Sales,19,47
1007,21,HR,112,96
1008,22,Finance,63,40
1009,34,IT,90,137
1010,42,Operations,21,67
1011,34,IT,137,127
1012,31,Sales,100,147
1013,47,Finance,50,31
1014,37,Finance,106,138
1015,24,Sales,50,17
1016,47,Support,133,54
1017,41,Support,120,23
1018,10,Operations,96,37
1019,5,IT,79,50
1020,36,IT,142,12
1021,14,Support,27,14
1022,45,Operations,10,64
1023,1,IT,82,104
1024,6,Support,106,66
1025,23,IT,36,140
1026,48,IT,109,54
1027,2,Operations,149,109
1028,39,HR,137,64
1029,31,Support,149,85
1030,49,Sales,72,143
1031,43,Sales,33,54
1032,41,Sales,115,82
1033,6,Finance,62,139
1034,9,Support,118,85
1035,18,HR,19,93
1036,38,HR,70,135
1037,17,Operations,45,116
1038,1,Operations,44,81
1039,26,HR,34,85
1040,35,Finance,54,149
1041,37,Finance,66,87
1042,11,Operations,85,34
1043,24,Support,112,22
1044,49,IT,68,16
1045,43,HR,142,66
1046,23,Finance,16,147
1047,14,IT,48,8
1048,16,Operations,24,29
1049,42,Support,120,45
1050,18,Support,126,103
1051,32,HR,109,93
1052,45,Finance,37,20
1053,25,HR,95,96
1054,24,IT,130,83
1055,15,Support,137,79
1056,28,Operations,132,99
1057,17,Operations,12,103
1058,33,IT,10,143
1059,46,Support,23,148
1060,30,Operations,90,47
1061,21,Operations,68,25
1062,33,IT,145,112
1063,8,HR,34,37
1064,34,Finance,81,143
1065,11,HR,85,124
1066,22,IT,11,132
1067,22,IT,116,48
1068,21,Support,24,119
1069,48,Support,61,90
1070,21,Operations,144,112
1071,28,Support,73,8
1072,30,IT,46,123
1073,10,IT,118,67
1074,16,Finance,67,13
1075,19,Operations,39,91
1076,18,Finance,60,77
1077,47,Finance,63,139
1078,1,HR,35,20
1079,5,Sales,73,138
1080,5,Operations,113,93
1081,49,Finance,74,23
1082,46,Operations,86,116
1083,25,IT,70,54
1084,43,Finance,33,134
1085,23,Finance,78,62
1086,46,Sales,11,92
1087,17,Sales,42,36
1088,22,Finance,88,142
1089,4,Sales,117,65
1090,17,IT,73,135
1091,30,Operations,136,105
1092,45,Sales,87,74
1093,17,Sales,142,44
1094,29,Finance,27,12
1095,9,HR,144,41
1096,30,Support,129,49
1097,43,Support,138,129
1098,1,HR,58,130
1099,19,HR,146,72
1100,20,Support,62,18
1101,23,Sales,127,101
1102,21,Sales,70,136
1103,9,Finance,57,81
1104,5,Support,89,69
1105,14,HR,117,146
1106,17,Sales,129,87
1107,9,HR,149,127
1108,30,Sales,149,75
1109,26,Sales,97,32
1110,34,IT,18,50
1111,43,HR,124,39
1112,34,Finance,123,60
1113,42,Operations,75,54
1114,20,Operations,21,126
1115,10,Operations,149,107
1116,38,HR,144,55
1117,25,IT,141,62
1118,17,Operations,138,35
1119,35,Sales,58,54
1120,43,IT,86,47
1121,31,HR,55,92
1122,45,Finance,84,65
1123,25,Operations,91,83
1124,30,Operations,24,142
1125,40,HR,85,45
1126,18,IT,142,119
1127,43,Finance,94,47
1128,19,IT,146,145
1129,8,Finance,136,50
1130,15,HR,83,142
1131,21,Operations,54,11
1132,27,Operations,133,70
1133,20,Sales,29,41
1134,36,Sales,70,144
1135,48,Support,106,116
1136,14,IT,141,62
1137,3,Support,27,47
1138,39,IT,111,35
1139,5,IT,84,94
1140,6,IT,97,131
1141,30,Sales,48,37
1142,12,Sales,67,35
1143,48,HR,91,56
1144,39,HR,147,77
1145,29,HR,112,80
1146,19,Sales,147,117
1147,38,Operations,105,89
1148,15,Finance,126,77
1149,1,Support,26,14
1150,40,Operations,116,122
1151,30,HR,67,68
1152,2,IT,124,35
1153,37,Support,17,115
1154,40,Sales,15,53
1155,50,Operations,25,141
1156,17,Operations,129,82
1157,10,Finance,61,43
1158,3,Finance,57,8
1159,48,Operations,73,81
1160,30,HR,123,75
1161,8,HR,53,37
1162,8,HR,91,64
1163,32,Support,63,93
1164,17,Support,73,68
1165,3,Operations,86,87
1166,27,Sales,56,132
1167,14,HR,46,115
1168,8,Finance,61,9
1169,21,IT,93,63
1170,7,Operations,138,100
1171,24,Support,125,94
1172,38,Support,126,28
1173,26,HR,37,20
1174,30,Operations,57,128
1175,27,Operations,74,142
1176,44,Operations,29,95
1177,16,Support,39,97
1178,31,Finance,103,42
1179,8,HR,120,30
1180,7,Operations,22,13
1181,50,IT,25,34
1182,20,Support,69,138
1183,40,Operations,28,37
1184,25,Operations,47,69
1185,29,HR,18,106
1186,34,Operations,147,141
1187,45,Sales,31,101
1188,34,Finance,40,120
1189,4,Sales,21,20
1190,38,Operations,54,121
1191,15,Sales,95,62
1192,13,HR,113,127
